ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile
BK,103.69000244140625,0.1768192466666465,0.23849822912286855,0.563068546187089,0.07511203751738282,0.08937736067834434,0.316857811952197,106.0999984741211,0.02271438329287693,0.03539394428136094,-0.005044779347991746,0.7428906259020217,106.56999969482422,2780500.0,3810884.0,False,False,102.9000015258789,0.13059385398482642,39.473684210526315,31.57894736842105,78.94736842105263,53.50877192982456
BX,169.99000549316406,0.2414618238006827,0.18265026807566742,0.26389761359089303,0.13416784664848103,0.04025375034588974,0.06481155290658136,194.80039978027344,0.12736315898270456,0.04841458592617095,-0.011760443542556781,0.7832282260448039,177.41000366210938,3110400.0,3809758.0,False,False,165.32000732421875,0.07333953974880544,62.28070175438597,12.280701754385964,43.859649122807014,33.33333333333333
C,95.4000015258789,0.2524772051848876,0.3714269388125764,0.599900737660692,0.14423121802649708,0.2063008439058569,0.34788828671394034,97.08000183105469,0.01730531802110422,0.0526205890164391,-0.0018809594257259438,0.8512344645677962,97.9800033569336,17019200.0,15221012.0,True,False,92.95999908447266,0.21599744470366566,67.54385964912281,74.56140350877193,80.7017543859649,78.0701754385965
CAT,423.0799865722656,0.21684385463126166,0.2512079108446952,0.2631590408563851,0.11167749813638395,0.10055673841471058,0.06418931834271402,438.0199890136719,0.03410803802595395,0.060177798006778235,-0.0015204710359096258,0.8036780877739447,437.8399963378906,1843200.0,2866272.0,False,False,410.5199890136719,0.09661948231681328,52.63157894736842,39.473684210526315,42.98245614035088,42.10526315789473
CBRE,164.3800048828125,0.28784084666913334,0.2298369024316569,0.4212346505109439,0.17653853859238122,0.08175889745492304,0.19736524460679217,164.97999572753906,0.003636749062094986,0.054264496313310324,-0.0072003481650298,1.0685092893100088,165.41000366210938,1285100.0,1592368.0,False,False,156.1699981689453,0.13331405922653433,71.9298245614035,22.807017543859647,64.03508771929825,56.14035087719298
CCL,31.56999969482422,0.3143213610814175,0.5126975766803015,0.9320685067328005,0.20073046091600033,0.3305618488898381,0.6277338012618248,32.4900016784668,0.028316464638791394,0.07063666657563915,-0.001907007526015558,0.8142641034467569,32.77000045776367,12079100.0,19614496.0,False,False,30.540000915527344,0.3510468229720841,78.94736842105263,88.59649122807018,92.10526315789474,89.47368421052632
CDNS,351.010009765625,0.18468392332712358,0.44353513932900746,0.3696348190945158,0.08229700544921337,0.2697268862809741,0.15389329242536398,371.0299987792969,0.05395787154553114,0.042505861642289235,-0.005343647824537957,0.7093231707611313,357.5899963378906,1115800.0,1657848.0,False,False,340.57000732421875,0.19033120326032385,45.614035087719294,84.21052631578947,58.77192982456141,72.80701754385966
CFG,51.709999084472656,0.2952553146640793,0.24498336252430408,0.2595852255499962,0.18331220737433984,0.09508165426744886,0.061178441682075535,52.5099983215332,0.015235179254090448,0.0358731304405175,-0.00776181364961124,0.7602893706298424,52.849998474121094,2996600.0,4743536.0,True,False,50.994998931884766,0.1147701776824415,77.19298245614034,35.96491228070175,42.10526315789473,47.368421052631575
CHRW,126.12999725341797,0.32922329080737156,0.3020935116136163,0.24791453911070915,0.21434448369476744,0.1453154794114082,0.051346093224991174,129.2899932861328,0.024441149329487773,0.05565683656491297,0.0023727613242944994,1.1809353343170212,131.1699981689453,1448000.0,1412372.0,False,False,124.1500015258789,0.14723030345913257,84.21052631578947,54.385964912280706,40.35087719298245,60.526315789473685
CMI,399.8500061035156,0.24377638826091252,0.17199738555987865,0.3410600059610469,0.13628237368383633,0.030883523755508957,0.12981951396460878,404.736083984375,0.012072256648725207,0.03943983816563294,-0.004580642287402602,0.7743389693317745,408.3800048828125,864200.0,889520.0,False,False,389.5199890136719,0.08229037677582714,64.03508771929825,5.263157894736842,54.385964912280706,37.719298245614034
