ticker,last_close,r3,r6,r12,rs3,rs6,rs12,high52,near_52w_gap_pct,pivot_tight_range_pct,vol_contraction_score,vol10_over_vol50,breakout_trigger,vol_today,vol50_avg,over_trigger_high,over_trigger_close,pivot_low7,rs_composite,rs3_pctile,rs6_pctile,rs12_pctile,rs_composite_pctile,trigger_price,stop_suggest,risk_pct,max_entry_price,position_risk_$
AXP,321.7200012207031,0.07683049378985851,0.2670934253726356,0.33250597231877643,-0.007759363580691847,0.07302827548429636,0.08981632227411573,331.2799987792969,0.02885775656188271,0.03624270675701787,-0.0072171562227206845,0.9726248350888943,332.4599914550781,531901.0,2479836.02,False,False,320.79998779296875,0.052149593122763765,9.565217391304348,27.82608695652174,40.869565217391305,19.130434782608695,332.4599914550781,320.79998779296875,0.035071900264079955,337.4468913269043,11.283331795772181
AZO,4251.0,0.1447205577779922,0.1931760737035022,0.3745893109455136,0.054797631867172125,0.010431937438764471,0.12423501178392549,4291.1201171875,0.00934956750029073,0.03123977722153611,-0.0037162229882359648,0.8190888431218044,4297.97021484375,24039.0,106830.78,True,False,4165.169921875,0.04650226063631897,35.65217391304348,1.7391304347826086,46.08695652173913,15.65217391304348,4297.97021484375,4165.169921875,0.03089837442570036,4362.439768066406,131.34898968365223
BAC,50.040000915527344,0.11595328197057664,0.27783032115144257,0.3214037475657505,0.028290154395262723,0.08212073270243692,0.08073614852573963,50.45933532714844,0.008310343545002681,0.038968839473669366,-0.004146843005102768,0.9774696740782751,50.91999816894531,9147628.0,37958694.56,False,False,48.880001068115234,0.0656946423749452,26.08695652173913,30.434782608695656,38.26086956521739,26.956521739130434,50.91999816894531,48.880001068115234,0.04006278818121041,51.683798141479485,2.0047419572663467
BK,103.61000061035156,0.1573580570550046,0.2931214005094456,0.5966700343180646,0.06644239898482618,0.09506986509098692,0.30586811679183934,106.0999984741211,0.023468406216583197,0.03426313126961931,-0.001588352962087994,0.7297450242543283,106.56999969482422,830439.0,3638892.78,False,False,102.62999725341797,0.12864127559930918,40.869565217391305,33.91304347826087,69.56521739130434,53.04347826086957,106.56999969482422,102.62999725341797,0.036971027988072745,108.16854969024658,3.830568232409542
BX,177.9550018310547,0.2523587111586225,0.3051925189515179,0.33296076972654576,0.15398032629246416,0.1052921984609625,0.09018828731488204,194.8004150390625,0.08647524290248496,0.0807507233251581,-0.006497487770398574,0.7122055781964836,179.69000244140625,1583122.0,3638278.44,True,False,165.32000732421875,0.1168778545811969,73.91304347826086,38.26086956521739,41.73913043478261,49.56521739130435,179.69000244140625,165.32000732421875,0.07997103301210819,182.38535247802733,14.231245326101048
C,96.55999755859375,0.2456113605301513,0.4514410552964079,0.6843039345746029,0.14776301027072347,0.22914164129120151,0.377541232611293,97.33999633789062,0.008013137545118771,0.056130885521785495,0.0019720098871825655,0.839978168351848,98.37999725341797,4472455.0,14730175.1,True,False,92.95999908447266,0.2344079702490764,69.56521739130434,73.04347826086956,79.13043478260869,75.65217391304347,98.37999725341797,92.95999908447266,0.05509248140131462,99.85569721221923,5.319729869607811
CAT,423.20001220703125,0.18456731367587742,0.2561304829049753,0.30525597475219524,0.09151424665415853,0.06374439237453466,0.06752937366231215,438.0199890136719,0.03383401940174482,0.03703926715124618,0.0015991047049972423,0.6845387703239111,437.8399963378906,671861.0,2755017.22,False,False,410.5199890136719,0.07283234491597732,50.43478260869565,24.347826086956523,35.65217391304348,32.17391304347826,437.8399963378906,410.5199890136719,0.06239723997972837,444.40759628295893,26.406512721106104
CBRE,163.19000244140625,0.2283778317198566,0.2969085279082557,0.4371642277017094,0.13188325232080222,0.09827696466266178,0.17541314311130374,164.97999572753906,0.010849759561692244,0.054660199984665474,-0.004480249142282738,0.9257373029573338,165.41000366210938,354184.0,1520807.68,False,False,156.1699981689453,0.1237860866498323,61.73913043478261,35.65217391304348,53.04347826086957,50.43478260869565,165.41000366210938,156.1699981689453,0.05586122537086117,167.891153717041,9.11599350465078
CCL,30.804500579833984,0.25681355741216616,0.6128010452669743,0.9658264473422673,0.15808522442383977,0.36578810184667376,0.6077899788648864,32.4900016784668,0.0518775319039119,0.05518676592511779,0.0009091594072913576,0.7697248040977607,32.77000045776367,7579456.0,18272083.12,False,False,30.540000915527344,0.35187761402346607,74.78260869565217,87.82608695652175,86.95652173913044,86.95652173913044,32.77000045776367,30.540000915527344,0.06805003085399744,33.261550464630126,2.0962472148996847
CFG,51.595001220703125,0.24002695814418984,0.3187830236419782,0.3179396428131893,0.14261728769932214,0.11680121233393503,0.07790296204865466,52.5099983215332,0.017425197678112625,0.0374067304877075,-0.004056444091201121,0.7052361299994304,52.849998474121094,773520.0,4515724.4,False,False,50.91999816894531,0.11676638488649509,68.69565217391305,46.08695652173913,37.391304347826086,48.69565217391305,52.849998474121094,50.91999816894531,0.036518455267710914,53.642748451232904,1.884169744115737
CHRW,126.05500030517578,0.31713972054185646,0.3003259574157968,0.2803709804458858,0.21367249729709492,0.10117098843205152,0.04717668966831745,128.6629638671875,0.020269730182057615,0.04156913927320326,0.004113595417843282,0.9957774827434233,131.1699981689453,250757.0,1387665.14,False,False,124.1500015258789,0.12412258133881773,85.21739130434783,37.391304347826086,30.434782608695656,51.30434782608696,131.1699981689453,124.1500015258789,0.05351831013998139,133.13754814147947,6.746250601027846
CMI,402.29998779296875,0.2365867244203479,0.23452182407330313,0.4004025320468285,0.13944729973997072,0.04544526662943915,0.1453468643917828,404.736083984375,0.0060189745560227745,0.04059164202174296,-0.0016719837764147352,0.6938344974705185,408.3800048828125,202043.0,860124.86,False,False,389.5199890136719,0.09362619611506735,64.34782608695652,19.130434782608695,49.56521739130435,40.0,408.3800048828125,389.5199890136719,0.04618251541123478,414.5057049560547,18.579225386188345
COF,221.44500732421875,0.10471466626474801,0.3467742691356597,0.6125498844640478,0.017934382280027972,0.14050538227066212,0.31885576581096076,227.22000122070312,0.025415869489741852,0.042087162759033174,-0.008591871244076716,0.8313295809696571,228.16000366210938,873204.0,3512410.08,False,False,218.16000366210938,0.1394041589815316,18.26086956521739,53.04347826086957,73.04347826086956,58.26086956521739,228.16000366210938,218.16000366210938,0.04382889130212923,231.582403717041,9.705689155412395
DAL,61.154598236083984,0.18749704168529302,0.3185601152144706,0.47234031258635967,0.0942138314090133,0.11661244405468274,0.20418259875155242,68.44911193847656,0.10656841989343899,0.06442685816524925,-0.0038506809301568266,0.6680424591931126,63.90999984741211,1997946.0,8825448.92,False,False,59.970001220703125,0.12740689120035584,53.04347826086957,45.21739130434783,58.26086956521739,52.17391304347826,63.90999984741211,59.970001220703125,0.06164917283861526,64.86864984512329,3.7701303965324175
DASH,253.22500610351562,0.17795508520064285,0.3782453164535726,1.0494092838050846,0.08542143833543614,0.16715639549117012,0.6761498521648426,270.989990234375,0.06555586837541386,0.08011971302329556,-0.000669126830921286,0.7633176485192315,264.2200012207031,806831.0,3263874.62,False,False,238.1999969482422,0.24443459967918443,47.82608695652174,58.26086956521739,90.43478260869566,78.26086956521739,264.2200012207031,238.1999969482422,0.0984785563252133,268.18330123901364,24.937233026517543
DDOG,141.92999267578125,0.18363763106638964,0.3920164177148915,0.3239738499648208,0.09065759477679602,0.17881834617456738,0.08283815752427981,168.64999389648438,0.15843464089956377,0.11340098676302937,0.01411698711224466,0.6291955553791304,145.15499877929688,2386284.0,7706631.68,True,False,129.05999755859375,0.13317408302517847,48.69565217391305,61.73913043478261,39.130434782608695,55.65217391304348,145.15499877929688,129.05999755859375,0.11088148087256033,147.33232376098633,15.737407768122267
DHI,175.1199951171875,0.3831404619236267,0.32903517929530235,-0.04867870476594671,0.2744885848897758,0.1254831711227653,-0.22194309308131333,194.88002014160156,0.10139584863577217,0.10021701428219908,0.01217553577693554,0.7129071544255277,184.5500030517578,1382327.0,4228408.54,False,False,167.0,0.10069954241205273,90.43478260869566,47.82608695652174,2.608695652173913,44.34782608695652,184.5500030517578,167.0,0.09509619486072748,187.31825309753415,16.653245179673707
